order_id,settlement_id,tier,match_status,confidence,category,explanation,suggested_action
ORD1035,STL5035,1,matched,1.0,exact,Exact match: order ORD1035 amount 1545.46 equals settlement 1545.46. No fee deduction.,
ORD1015,STL5015,1,matched,1.0,exact,Exact match: order ORD1015 amount 8744.81 equals settlement 8744.81. No fee deduction.,
ORD1014,STL5014,1,matched,1.0,exact,Exact match: order ORD1014 amount 1366.24 equals settlement 1366.24. No fee deduction.,
ORD1018,STL5018,1,matched,1.0,exact,Exact match: order ORD1018 amount 13023.96 equals settlement 13023.96. No fee deduction.,
ORD1033,STL5033,1,matched,1.0,exact,Exact match: order ORD1033 amount 11255.80 equals settlement 11255.80. No fee deduction.,
ORD1009,STL5009,1,matched,1.0,exact,Exact match: order ORD1009 amount 2501.10 equals settlement 2501.10. No fee deduction.,
ORD1008,STL5008,1,matched,1.0,exact,Exact match: order ORD1008 amount 10532.46 equals settlement 10532.46. No fee deduction.,
ORD1010,STL5010,1,matched,1.0,exact,Exact match: order ORD1010 amount 1712.71 equals settlement 1712.71. No fee deduction.,
ORD1023,STL5023,1,matched,1.0,exact,Exact match: order ORD1023 amount 2618.36 equals settlement 2618.36. No fee deduction.,
ORD1036,STL5036,1,matched,1.0,exact,Exact match: order ORD1036 amount 2462.05 equals settlement 2462.05. No fee deduction.,
ORD1000,STL5000,1,matched,1.0,exact,Exact match: order ORD1000 amount 9663.52 equals settlement 9663.52. No fee deduction.,
ORD1012,STL5012,1,matched,1.0,exact,Exact match: order ORD1012 amount 12145.50 equals settlement 12145.50. No fee deduction.,
ORD1027,STL5027,1,matched,1.0,exact,Exact match: order ORD1027 amount 6137.24 equals settlement 6137.24. No fee deduction.,
ORD1038,STL5038,1,matched,1.0,exact,Exact match: order ORD1038 amount 9019.15 equals settlement 9019.15. No fee deduction.,
ORD1006,STL5006,1,matched,1.0,exact,Exact match: order ORD1006 amount 3462.52 equals settlement 3462.52. No fee deduction.,
ORD1002,STL5002,1,matched,1.0,exact,Exact match: order ORD1002 amount 10215.15 equals settlement 10215.15. No fee deduction.,
ORD1037,STL5037,1,matched,1.0,exact,Exact match: order ORD1037 amount 9026.85 equals settlement 9026.85. No fee deduction.,
ORD1011,STL5011,1,matched,1.0,exact,Exact match: order ORD1011 amount 5512.89 equals settlement 5512.89. No fee deduction.,
ORD1016,STL5016,1,matched,1.0,exact,Exact match: order ORD1016 amount 878.20 equals settlement 878.20. No fee deduction.,
ORD1007,STL5007,1,matched,1.0,exact,Exact match: order ORD1007 amount 12179.57 equals settlement 12179.57. No fee deduction.,
ORD1001,STL5001,1,matched,1.0,exact,Exact match: order ORD1001 amount 3824.40 equals settlement 3824.40. No fee deduction.,
ORD1032,STL5032,1,matched,1.0,exact,Exact match: order ORD1032 amount 11225.84 equals settlement 11225.84. No fee deduction.,
ORD1017,STL5017,1,matched,1.0,exact,Exact match: order ORD1017 amount 14781.28 equals settlement 14781.28. No fee deduction.,
ORD1021,STL5021,1,matched,1.0,exact,Exact match: order ORD1021 amount 10118.59 equals settlement 10118.59. No fee deduction.,
ORD1024,STL5024,1,matched,1.0,exact,Exact match: order ORD1024 amount 14844.95 equals settlement 14844.95. No fee deduction.,
ORD1029,STL5029,1,matched,1.0,exact,Exact match: order ORD1029 amount 3346.87 equals settlement 3346.87. No fee deduction.,
ORD1039,STL5039,1,matched,1.0,exact,Exact match: order ORD1039 amount 14571.96 equals settlement 14571.96. No fee deduction.,
ORD1025,STL5025,1,matched,1.0,exact,Exact match: order ORD1025 amount 10332.29 equals settlement 10332.29. No fee deduction.,
ORD1028,STL5028,1,matched,1.0,exact,Exact match: order ORD1028 amount 13714.41 equals settlement 13714.41. No fee deduction.,
ORD1004,STL5004,1,matched,1.0,exact,Exact match: order ORD1004 amount 1586.69 equals settlement 1586.69. No fee deduction.,
ORD1034,STL5034,1,matched,1.0,exact,Exact match: order ORD1034 amount 5557.55 equals settlement 5557.55. No fee deduction.,
ORD1003,STL5003,1,matched,1.0,exact,Exact match: order ORD1003 amount 8939.29 equals settlement 8939.29. No fee deduction.,
ORD1022,STL5022,1,matched,1.0,exact,Exact match: order ORD1022 amount 9215.14 equals settlement 9215.14. No fee deduction.,
ORD1020,STL5020,1,matched,1.0,exact,Exact match: order ORD1020 amount 2607.28 equals settlement 2607.28. No fee deduction.,
ORD1030,STL5030,1,matched,1.0,exact,Exact match: order ORD1030 amount 13293.31 equals settlement 13293.31. No fee deduction.,
ORD1019,STL5019,1,matched,1.0,exact,Exact match: order ORD1019 amount 6910.47 equals settlement 6910.47. No fee deduction.,
ORD1013,STL5013,1,matched,1.0,exact,Exact match: order ORD1013 amount 8136.18 equals settlement 8136.18. No fee deduction.,
ORD1031,STL5031,1,matched,1.0,exact,Exact match: order ORD1031 amount 2314.50 equals settlement 2314.50. No fee deduction.,
ORD1026,STL5026,1,matched,1.0,exact,Exact match: order ORD1026 amount 3589.91 equals settlement 3589.91. No fee deduction.,
ORD1005,STL5005,1,matched,1.0,exact,Exact match: order ORD1005 amount 8506.43 equals settlement 8506.43. No fee deduction.,
ORD1059,STL5059,2,matched,0.98,date_drift,"Fee-adjusted match: order ORD1059 gross amount 2806.57 minus gateway fee 0.00 + tax 0.00 (total deduction 0.00) = 2806.57, matching settlement 2806.57. Settlement arrived T+5 (normal is T+1/T+2).",
ORD1046,STL5046,2,matched,0.98,fee_adjusted,"Fee-adjusted match: order ORD1046 gross amount 6821.04 minus gateway fee 102.32 + tax 18.42 (total deduction 120.74) = 6700.30, matching settlement 6700.30.",
ORD1063,STL5063,2,matched,0.98,date_drift,"Fee-adjusted match: order ORD1063 gross amount 8178.37 minus gateway fee 163.57 + tax 29.44 (total deduction 193.01) = 7985.36, matching settlement 7985.36. Settlement arrived T+3 (normal is T+1/T+2).",
ORD1050,STL5050,2,matched,0.98,fee_adjusted,"Fee-adjusted match: order ORD1050 gross amount 15433.77 minus gateway fee 231.51 + tax 41.67 (total deduction 273.18) = 15160.59, matching settlement 15160.59.",
ORD1057,STL5057,2,matched,0.98,date_drift,"Fee-adjusted match: order ORD1057 gross amount 2978.62 minus gateway fee 59.57 + tax 10.72 (total deduction 70.29) = 2908.33, matching settlement 2908.33. Settlement arrived T+3 (normal is T+1/T+2).",
ORD1053,STL5053,2,matched,0.98,fee_adjusted,"Fee-adjusted match: order ORD1053 gross amount 6578.47 minus gateway fee 98.68 + tax 17.76 (total deduction 116.44) = 6462.03, matching settlement 6462.03.",
